Age_Years,Mileage_km,Engine_CC,Owner_Count,Accident_History,Color_Popularity_Score,Local_Fuel_Price_Index,Service_Center_Visits,Resale_Price_USD
13,142535,1000,4,1,6.6,70.8,5,6320.62
15,107767,1000,1,0,5.8,96.8,1,11524.46
1,14314,1200,3,0,1.3,73.7,3,31341.0
14,200245,1500,2,0,7.5,95.5,2,13503.08
1,11739,1500,1,1,5.9,82.8,3,32849.61
7,90520,2000,2,0,3.4,71.2,3,29447.55
9,74241,1500,1,0,4.0,68.3,3,26039.04
5,33872,1800,1,0,9.4,74.2,0,33512.25
2,20228,1800,1,0,6.6,61.8,1,37920.41
3,24155,1000,1,0,5.3,78.5,3,28652.2
13,170180,1500,1,0,6.6,114.1,2,16741.54
5,69642,1500,3,0,4.7,109.9,4,28678.17
4,26575,1500,2,0,5.2,82.3,4,32569.16
14,159915,1000,2,0,3.6,94.6,4,10387.6
2,24075,2000,1,0,5.0,94.0,2,39782.86
14,208755,2500,1,1,7.2,109.7,2,18434.09
14,118783,1000,1,0,1.4,74.2,3,11921.29
9,111271,1800,3,0,8.2,77.8,2,25303.7
2,17432,2000,1,0,3.5,78.1,6,40703.9
2,24653,1200,2,1,7.1,62.5,4,27766.62
4,49809,2000,2,0,6.8,78.9,6,35394.45
9,118503,1800,2,1,6.9,112.7,2,21247.26
2,21372,2500,3,0,6.5,114.7,5,41522.86
7,92767,3000,1,0,9.6,66.6,4,40035.37
1,18613,1000,3,0,5.6,87.5,1,29938.48
8,82565,1500,2,0,7.6,82.9,0,23927.27
0,2607,1800,2,1,7.3,89.4,1,35751.47
11,67337,1200,2,1,3.1,93.3,2,14712.43
0,2053,1500,3,0,3.5,61.2,2,36373.34
3,31932,3000,4,1,4.8,110.5,0,41236.5
2,29078,1000,1,0,3.5,118.4,3,29703.71
13,83958,1500,3,0,4.3,99.2,3,18657.57
0,5044,2000,2,0,4.5,99.6,3,41914.04
6,65172,1500,1,0,6.4,91.7,0,29286.45
9,112024,1500,3,1,3.0,80.1,1,18044.31
8,68867,3000,1,0,8.2,68.9,4,39092.58
10,160137,1500,2,0,4.9,95.0,1,19096.54
12,97298,1200,1,0,7.4,62.7,4,16585.2
6,48085,1000,1,0,1.7,109.5,3,25521.69
13,188799,2500,3,0,5.2,85.3,3,21510.62
5,74792,1200,1,0,1.3,84.9,1,27610.79
15,123384,1500,1,0,7.1,79.6,0,15493.1
8,91189,1000,1,0,4.1,118.2,6,21752.78
11,147410,1500,1,0,9.5,70.5,5,18306.2
14,203325,2500,3,0,3.9,69.1,3,19940.36
12,120784,1500,3,0,6.1,69.9,4,17907.56
13,148897,3000,1,0,3.3,99.5,3,31503.08
8,109956,1200,2,1,6.6,119.5,2,19151.93
0,2982,1500,1,0,5.2,74.1,1,38503.04
7,95723,2500,2,1,4.3,114.3,5,32796.41
2,19683,1500,1,0,2.8,76.7,5,35153.58
14,95173,1200,1,0,2.0,98.9,2,16506.09
3,38577,2500,1,0,2.1,62.4,2,41566.06
3,44915,1500,2,0,10.0,89.7,2,32607.01
3,41609,1800,2,1,4.7,99.3,3,29770.07
10,68226,3000,1,0,1.0,92.2,2,36520.38
9,60573,1200,3,0,9.6,74.3,3,21444.21
15,196551,1500,2,0,1.2,109.7,7,10424.02
6,41872,1000,1,0,4.8,118.2,3,25700.03
4,60510,1500,3,0,7.5,87.6,2,30292.84
0,1442,1200,3,0,9.2,98.2,0,33583.91
0,500,1800,1,0,7.4,107.4,5,40405.44
5,80133,1200,2,0,5.2,74.5,3,25217.23
14,138672,1800,1,0,9.8,111.9,4,18090.53
8,74691,1200,2,0,1.4,76.8,1,22347.82
14,178527,1500,1,0,9.9,106.5,1,14558.17
1,17876,1500,2,0,8.6,66.7,4,35470.19
1,8865,2000,1,0,9.4,77.3,4,43057.99
13,153858,1500,2,0,3.3,92.0,4,15178.93
1,14052,1500,3,0,2.3,91.5,6,36269.97
0,2040,2500,1,0,7.0,111.0,4,46571.1
6,47384,1800,3,0,5.6,119.8,4,30533.24
14,135228,1200,4,0,5.7,66.4,3,12079.54
11,115220,2500,3,0,9.3,76.3,1,28983.3
1,6854,1500,1,1,6.6,81.5,6,33563.33
13,108372,1000,3,0,3.8,88.7,4,12972.84
13,167356,1500,1,0,4.6,89.6,3,16498.04
12,119879,1200,1,0,2.2,111.4,4,16219.52
14,219115,1200,3,0,2.7,106.2,5,8694.18
3,29160,2000,2,1,2.3,61.1,2,35914.05
15,101940,1200,2,0,8.3,87.3,3,13587.22
5,64260,2000,1,0,7.3,97.1,4,34968.01
12,179563,2500,3,1,5.8,87.6,0,21324.6
9,82984,1800,2,0,4.4,67.8,2,25000.82
12,96412,2000,1,0,7.0,83.8,5,25375.68
10,73431,2000,3,0,8.3,84.7,3,25580.52
10,106760,3000,1,0,8.9,71.3,8,35264.89
